sku,detalle,costo,venta,desde,hasta,empresa_id
40400001802,COCKTAIL FRUTA WASIL 560GR,1175,1716,1-9-2020,2-12-2020,3
40400001815,CREMA ARVEJA/JAMON MACROFOOD KG,1326,1936,1-9-2020,2-12-2020,3
40400001820,CREMA CHANTILLY MACROFOOD 250GR,1007,1470,1-9-2020,2-12-2020,3
40400001823,CREMA CHOCLO MACROFOOD KG,1326,1936,1-9-2020,2-12-2020,3
40400001828,CREMA ESPARRAGO MACROFOOD KG,1326,1936,1-9-2020,2-12-2020,3
40400001831,CREMA LENTEJAS MACROFOOD KG,1635,2387,1-9-2020,2-12-2020,3
40400001832,CREMA NESTLE 236GR,571,834,1-9-2020,2-12-2020,3
40400001834,CREMA PASTELERA TKF KG,1875,2738,1-9-2020,2-12-2020,3
40400001839,CREMA TOMATE MACROFOOD KG,1635,2387,1-9-2020,2-12-2020,3
40400001842,CREMA VERDURA MACROFOOD KG,1326,1936,1-9-2020,2-12-2020,3
40400001860,DULCE MEMBRILLO PERELLO 1KG,1499,2189,1-9-2020,2-12-2020,3
40400001871,DURAZNO JUGO MITAD WASIL 590GR,1035,1511,1-9-2020,2-12-2020,3
40400001878,ENDULZANTE STEVIA LIQ NATURALIST 270ML,2681,3914,1-9-2020,2-12-2020,3
40400001879,ENDULZANTE STEVIA NATURALIST 500TAB,3007,4390,1-9-2020,2-12-2020,3
40400001890,ESENCIA DE VAINILLA SURCO LT,1205,1759,1-9-2020,2-12-2020,3
40400001895,FID CABEL/CORTO P/SOPA CAROZZI 400G,581,848,1-9-2020,2-12-2020,3
40400001913,FID ESPIRAL CAROZZI 400GR,581,848,1-9-2020,2-12-2020,3
40400001926,FID LAZA#A CAROZZI 400GR,999,1459,1-9-2020,2-12-2020,3
40400001929,FID MOSTACCIOLI CAROZZI 400GR,581,848,1-9-2020,2-12-2020,3
40400001937,FID QUIFARO CAROZZI 400GR,581,848,1-9-2020,2-12-2020,3
40400001942,FID RAVIOL C/CARNE CAROZZI 400GR,974,1422,1-9-2020,2-12-2020,3
