RAZON_SOCIAL,GIRO,RUT,DIRECCION
Empresas Aquachile S. A,"Cultivos Marinos, Procesadora de Productos",82.247.400-7,"Cardonal s/n Lote B, Puerto Montt"
Exportadora Los Fiordos Limitada,Reproducción y Crianzas de Peces Marinos,79.872.420-7,"Avenida Diego Portales n° 2000, Puerto Montt"
Aquachile S. A,Acuicultura de Agua dulce,79.800.600-2,"Cardonal s/n Lote B, Puerto Montt"
Salmones Maullín Limitada,Cultivo y crianza de peces marinos,79.728.530-7,"Cardonal s/n Lote B, Puerto Montt"
Salmones Reloncaví S. A,"Piscicultura, Serv. Investigación Científica, Genetica molecular aplicada a la Acuicultura",76.125.666-1,"Cardonal s/n Lote B, Puerto Montt"
Australis Mar S.A,Cultivo Especies Acuaticas,"76,003,885-7","Sector San Jose S/N , Calbuco"
Salmones Blumar S.A,Acuicultura,76.653.690-5,"Camino a Chinquihue Km 5,1 - Puerto Montt"
CERMAQ CHILE S.A,Reproduccion de Peces y Mariscos,79.784.980-4,"Diego Portales 2000 , Piso 10 , Pto Montt"
